Bekerules	Leiras	Ar	Kerulet	Iroda	Jelleg	Alapterulet
2007.03.30	Péterfia u. / 71 m2-es, 2 szobás, konvektoros jó állapotú járólapos, parkettás lakás 30 m2 pincével eladó	16200000	2	2	lakás	71
2007.03.04	Laktanya u. / 72 m2-es, 1 + 2 szobás szép állapotú, klímás, amerikai konyhás, garázsos elsõ emeleti lakás eladó	18200000	1	2	lakás	72
2007.04.23	Domonkos Lajos u. / 73 m2 3 + 1 sz. Teljesen felújított, klíma, erkély elõtetõvel, pincerekesz 	11900000	2	3	lakás	73
2007.05.13	Kéky L. u. / 73 m2 2 + 1 szoba,  étkezõkonyha, központi gáz, felújított lakás	15100000	2	1	lakás	73
2007.02.10	Ötvenhatosok tere / 1 emeleti, 78 m2-es távfûtéses lakás pincével erkéllyel	13400000	3	2	lakás	78
2007.05.09	Hatvani István u. / 80 m2 3 szoba + étkezõkonyha, központi gáz, felújítandó pince tároló, garázssal együtt eladó	22200000	2	2	lakás	80
2007.03.17	Piac u. / 80 m2-es, 2 szoba, gardrób, étkezõ, polgári felújítot gázfûtésest lakás kocsibeállással eladó.	18700000	1	2	lakás	80
2007.04.05	Bornemissza u. / 100/87 m2,  3 szoba + nappali, étkezõ, konyha, 2 fürdõszoba, gázközponti, szép erkélyes lakás eladó	20300000	1	3	lakás	87
2007.02.17	Szombathi Istvan u. / 70/90 m2 2 + 2 szoba, tetõtéri felújított	12700000	3	0	lakás	90
2007.02.22	Diófa u. / 2.emeleti 92 m2, 2 + 3 szoba, tégla-gázfûtéses, belsõ zárt udvaros lakás, garázs, erkély	23800000	1	3	lakás	92
2007.04.13	Csapó u. / 95 m2, 2 + 2 szoba, tégla-gáz, 2 erkély, szép állapot (garázs 2,2M-ért)	20200000	1	4	lakás	95
2007.03.18	Lóskúti u. / 106 m2 3 szoba + nappali + étkezõ, gáz-központi, klímás, 2éves + 18 m2 garázs fûtött.	27900000	3	3	lakás	106
2007.04.12	Piac u. / 111 m2-es, 4 szoba, tégla-mért fûtés, polgári lakás	24000000	1	3	lakás	111
2007.02.28	Barta Boldizsár u. / 140 m2-es 2 szintes 3 lakásos sorházi középsõ, 4 szobás, 2 fürdõszobás, nappalis, garázzsal terasszal, klímával 	32700000	1	4	lakás	140
2007.02.28	Acsádi u. / 195 m2 3lakás 3 + 2szoba, garázs, pince, központi gáz, nagy kandalló, szép állapot, vállalkozásra alkalmas 630nö telek	49900000	3	0	lakás	195
2007.04.05	Báthory u. / 200 m2 + 100 m2 szuterén, 2 lakásos ház, emeleten erkély 2 + 1 + nappali + étkezõkonyha, fsz. 3 szoba, nappali 3 garázs, tárolók, mûhely, 750 m2 telek	38000000	2	3	lakás	200
2007.03.29	Sínai u. / 1,5 szoba, felújított	6700000	1	0	lakás	
2007.02.05	Senyei u / fsz-i újépítés amerikai konyhás lakás, közös terasz, parkosított udvar	10000000	3	3	lakás	
2007.02.16	Józsa és Debrecen között lévõ 735 m2 10,5m széles 76 m hosszú telek, 40 m2-es ház villany vezetékes víz van, gázcsonk 	14900000	4	1	telek	735
2007.03.01	Szepesi u. / 300 négyszögöl telek bontandó házzal eladó. Víz villany van, gáz az aszfaltos ucában	14900000	2	3	telek	1078
2007.03.02	Böszörményi u. / 2000 m2 összközmûves telek 80 m2-es ház parkosított udvarral. TELEKKÉNT két utcára nyíló	79800000	1	3	telek	2000
2007.05.08	Diószegi út / 6001 m2 telek (építési telek tervezett 180 m2-es 3 szoba + nappali + étkezõ házzal) víz a telken, villany gáza telek melett	15400000	1	3	telek	6001
